,country_of_citizenship,country_being_visited,visa_requirements
780,afghanistan,andorra,visa required
781,afghanistan,niger,visa required
782,afghanistan,belize,visa required
783,afghanistan,georgia,visa required
784,afghanistan,papua new guinea,visa required
785,afghanistan,bangladesh,visa on arrival
786,afghanistan,portugal,visa required
787,afghanistan,south africa,visa required
788,afghanistan,colombia,visa required
789,afghanistan,kuwait,visa required
790,afghanistan,venezuela,visa required
791,afghanistan,algeria,visa required
792,afghanistan,republic of the congo,visa required
793,afghanistan,jamaica,visa required
794,afghanistan,tonga,visa required
795,afghanistan,kenya,visa required
796,afghanistan,gabon,evisa
797,afghanistan,gambia,visa required
798,afghanistan,croatia,visa required
799,afghanistan,norway,visa required
800,afghanistan,sri lanka,visa required
801,afghanistan,saint lucia,visa required
802,afghanistan,rwanda,visa on arrival
803,afghanistan,fiji,visa required
804,afghanistan,cambodia,visa on arrival
805,afghanistan,united arab emirates,visa required
806,afghanistan,bhutan,visa required
807,afghanistan,uganda,evisa / visa on arrival
808,afghanistan,vietnam,visa required
809,afghanistan,netherlands,visa required
810,afghanistan,eritrea,visa required
811,afghanistan,tunisia,visa required
812,afghanistan,guyana,visa required
813,afghanistan,turkmenistan,visa required
814,afghanistan,south sudan,electronic visa
815,afghanistan,iran,visa required
816,afghanistan,kyrgyzstan,evisa
817,afghanistan,canada,visa required
818,afghanistan,france,visa required
819,afghanistan,oman,visa required
820,afghanistan,mongolia,visa required
821,afghanistan,cuba,visa required
822,afghanistan,germany,visa required
823,afghanistan,palau,visa on arrival
824,afghanistan,iraq,visa required
825,afghanistan,india,evisa
826,afghanistan,côte d'ivoire,visa required
827,afghanistan,slovenia,visa required
828,afghanistan,yemen,visa required
829,afghanistan,denmark,visa required
830,afghanistan,china,visa required
831,afghanistan,ukraine,visa required
832,afghanistan,serbia,visa required
833,afghanistan,marshall islands,visa required
834,afghanistan,lithuania,visa required
835,afghanistan,botswana,visa required
836,afghanistan,monaco,visa required
837,afghanistan,saudi arabia,visa required
838,afghanistan,azerbaijan,visa required
839,afghanistan,brunei,visa required
840,afghanistan,lesotho,visa required
841,afghanistan,barbados,visa required
842,afghanistan,nepal,visa required
843,afghanistan,malaysia,visa required
844,afghanistan,guatemala,visa required
845,afghanistan,greece,visa required
846,afghanistan,solomon islands,visa required
847,afghanistan,zimbabwe,evisa
848,afghanistan,maldives,visa on arrival
849,afghanistan,liberia,visa required
